iter	RMSE
0	0.2128935374
1	0.2016260825
2	0.1914268325
3	0.1824247754
4	0.1745065622
5	0.1675550795
6	0.1613519429
7	0.155934735
8	0.1510016967
9	0.1465137865
10	0.1421668132
11	0.1387037808
12	0.1352432911
13	0.132374337
14	0.1296923221
15	0.1271507429
16	0.1251737811
17	0.1231909928
18	0.1214346835
19	0.1199231824
20	0.1185325428
21	0.1173031311
22	0.1161754326
23	0.115046039
24	0.1141042496
25	0.1132658491
26	0.1123572144
27	0.1116283776
28	0.1107154374
29	0.1100530081
30	0.109396111
31	0.1088561472
32	0.1083589053
33	0.1077271281
34	0.1072966271
35	0.1068129477
36	0.1064539803
37	0.1057680944
38	0.1053231374
39	0.1049486662
40	0.1046942252
41	0.1040838207
42	0.1038022453
43	0.103506515
44	0.1030852327
45	0.102844883
46	0.1022954808
47	0.1020782525
48	0.1017995047
49	0.1015914129
50	0.1013755062
51	0.1010903805
52	0.1008476475
53	0.1006864311
54	0.100532738
55	0.1001519611
56	0.09994937962
57	0.09957690261
58	0.09942600857
59	0.09929285599
60	0.09909118514
61	0.09877346269
62	0.09861365487
63	0.0983974522
64	0.09828183665
65	0.09808177385
66	0.09794092715
67	0.09785738117
68	0.09766054516
69	0.09754795913
70	0.09739238229
71	0.09726366728
72	0.09709635925
73	0.09702663366
74	0.09687215592
75	0.09675139308
76	0.09663158937
77	0.09654549006
78	0.09646555509
79	0.09624264299
80	0.0961419478
81	0.09599792173
82	0.0958725595
83	0.09576512563
84	0.09569879817
85	0.09561379823
86	0.0954888813
87	0.09536850673
88	0.09530605802
89	0.09520703998
90	0.09511310809
91	0.09497686914
92	0.09491634453
93	0.09484045733
94	0.09472991332
95	0.09465902167
96	0.09456313945
97	0.09450107353
98	0.09441837536
99	0.09422159277
100	0.09416155325
101	0.09410995575
102	0.09405702664
103	0.09398843921
104	0.09394103651
105	0.09386885057
106	0.09375748253
107	0.09370842625
108	0.09362455543
109	0.09355605012
110	0.09350892436
111	0.09345416827
112	0.0934028052
113	0.09334899728
114	0.09329150028
115	0.09321810052
116	0.09311339069
117	0.09300511975
118	0.09294737123
119	0.09286963795
120	0.09280775602
121	0.09270293553
122	0.09265922158
123	0.09260197369
124	0.09255061801
125	0.09250378625
126	0.09246591274
127	0.09236115149
128	0.09232352836
129	0.09225105115
130	0.09217451747
131	0.09213251802
132	0.09205272124
133	0.09198982174
134	0.09194818126
135	0.09189714886
136	0.09183535404
137	0.09177851863
138	0.09173381613
139	0.09169128981
140	0.0916521149
141	0.09161339118
142	0.09156540188
143	0.09152284281
144	0.0914668302
145	0.09143223693
146	0.09139234054
147	0.09134068388
148	0.09129768029
149	0.09126150735
150	0.09121884993
151	0.09111057034
152	0.09107724194
153	0.09102138803
154	0.09098280303
155	0.09092824297
156	0.09083571927
157	0.0907971133
158	0.09073627276
159	0.09069041334
160	0.09059360345
161	0.09056033144
162	0.09051520444
163	0.09047111066
164	0.09037406058
165	0.09033342656
166	0.09029126054
167	0.09022092574
168	0.09017709536
169	0.09014077975
170	0.09011342397
171	0.09008592207
172	0.09003779949
173	0.0900130938
174	0.08993464306
175	0.08987626939
176	0.08984009487
177	0.08977820883
178	0.08974215763
179	0.08971021959
180	0.08969074201
181	0.08965065359
182	0.08962008178
183	0.08959086055
184	0.08955140475
185	0.08951101551
186	0.08948158286
187	0.08945759847
188	0.0894256067
189	0.08939321707
190	0.08933703567
191	0.08930961659
192	0.0892653426
193	0.08923664447
194	0.08917501627
195	0.08914850123
196	0.08912287999
197	0.0890890364
198	0.08906655696
199	0.08900995924
200	0.08898466009
201	0.08892310174
202	0.08889877844
203	0.08885808979
204	0.08880876029
205	0.08876580816
